X,Y
-116752.53654749,-879279.183812601
-116738.60521592,-879283.14932849
-116724.520965341,-879287.156790965
-116710.435324633,-879291.163291105
-116696.499515734,-879295.125706382
-116682.562085518,-879299.087246275
-116668.471390854,-879303.09100868
-116654.379063624,-879307.094112638
-116640.436419117,-879311.053532428
-116626.491990993,-879315.012443566
-116612.545757257,-879318.970956639
-116598.294482082,-879323.015247097
-116584.34460902,-879326.973341266
-116570.392962245,-879330.931406864
-116556.287959208,-879334.932568739
-116542.332809897,-879338.890917473
-116528.375968913,-879342.84959271
-116514.265686333,-879346.851782495
-116500.153913997,-879350.854516382
-116486.192272851,-879354.814942117
-116472.229165786,-879358.776202905
-116458.264664542,-879362.738430602
-116444.147094981,-879366.744790155
-116430.180047692,-879370.709355584
-116416.05999114,-879374.718453255
-116402.090772134,-879378.685891641
-116388.120632877,-879382.654964773
-116373.99783639,-879386.668913855
-116360.026168005,-879390.641704456
-116346.053915088,-879394.616572634
-116332.081187728,-879398.59367349
-116318.10807968,-879402.573177238
-116303.830894558,-879406.641859343
-116289.857250668,-879410.626765419
-116275.883440667,-879414.614621535
-116261.909512302,-879418.605635686
-116247.935495747,-879422.600042003
-116233.809503357,-879426.641369879
-116219.835342558,-879430.643209116
-116205.86110611,-879434.649053082
-116191.886782771,-879438.65910023
-116177.912340902,-879442.673529966
-116163.937760476,-879446.692513551
-116149.811109462,-879450.760172509
-116135.684248792,-879454.832420321
-116121.709052757,-879458.866097358
-116107.733586048,-879462.904891002
-116093.757815247,-879466.948908646
-116079.781698765,-879470.998235751
-116065.805185196,-879475.052956234
-116051.828221622,-879479.113135706
-116037.698846117,-879483.22283683
-116023.720816061,-879487.294151035
-116009.74218213,-879491.37101593
-115995.762913986,-879495.45343031
-115981.782970566,-879499.541384578
-115967.802328218,-879503.634850873
-115953.820961733,-879507.733774373
-115939.838867279,-879511.838082086
-115925.856028178,-879515.947704103
-115911.872419235,-879520.062552342
-115897.888086198,-879524.182148605
-115883.902903255,-879528.307210905
-115869.916911661,-879532.43724494
-115855.930088504,-879536.572173118
-115841.942406768,-879540.71191482
-115827.953848385,-879544.856397443
-115813.964375051,-879549.005546653
-115799.973946237,-879553.159283681
-115785.98250475,-879557.317545483
-115771.990009099,-879561.480260986
-115757.99641307,-879565.647364903
-115744.153826723,-879569.773264936
-115730.157863942,-879573.948919443
-115716.160620999,-879578.128802306
-115702.162023392,-879582.312857101
-115688.162008297,-879586.501028685
-115674.160497146,-879590.693268668
-115660.309689443,-879594.843735128
-115646.304966613,-879599.043911722
-115632.29850901,-879603.248001282
-115618.29025222,-879607.455951366
-115604.280135806,-879611.667708518
-115590.420484569,-879615.837227925
-115576.40647291,-879620.05639153
-115562.390412219,-879624.279197944
-115548.372229016,-879628.505591219
-115534.656673633,-879632.643523319
-115520.63410262,-879636.876829409
-115506.609233574,-879641.113541833
-115492.734584018,-879645.307373058
-115478.704967425,-879649.550701549
-115464.672888899,-879653.797269078
-115450.79097253,-879658.000677689
-115436.753869105,-879662.253496351
-115422.866681831,-879666.46320639
-115408.977129741,-879670.675593829
-115394.932202518,-879674.937295338
-115380.884590861,-879679.201862321
-115366.987107923,-879683.422720828
-115352.934084026,-879687.69279287
-115339.183902004,-879691.87262196
-115325.125432425,-879696.147918511
-115311.217143705,-879700.37915663
-115297.153135484,-879704.659470273
-115283.086329432,-879708.942225231
-115269.322618315,-879713.134180434
-115255.250278947,-879717.421587892
-115241.328252804,-879721.664538323
-115227.403274443,-879725.909828768
-115213.475785732,-879730.15706706
-115199.39236117,-879734.453162895
-115185.459397493,-879738.704500705
-115171.523517099,-879742.957955054
-115157.585157928,-879747.213165224
-115143.644111567,-879751.470239243
-115129.700176373,-879755.729268855
-115115.753778842,-879759.989921015
-115101.651299093,-879764.299221967
-115087.852747435,-879768.516485587
-115073.74488077,-879772.829091006
-115059.941098172,-879777.049482858
-115045.981418544,-879781.318204391
-115032.018893715,-879785.588492984
-115018.053942805,-879789.860059397
-115004.086360533,-879794.132964075
-114990.115925376,-879798.407247577
-114976.143071597,-879802.682632647
-114962.321084998,-879806.912197597
-114948.189304045,-879811.236826541
-114934.36215008,-879815.468417055
-114920.378869669,-879819.747893434
-114906.392776616,-879824.028273451
-114892.404284061,-879828.309361991
-114878.566839665,-879832.544105125
-114864.419262444,-879836.873558528
-114850.576670862,-879841.109413658
-114836.577796606,-879845.392763322
-114822.730096162,-879849.629428213
-114808.725845427,-879853.913471939
-114794.71921391,-879858.197725346
-114780.863861264,-879862.435071558
-114766.852081119,-879866.719593887
-114752.837513245,-879871.004130833
-114738.974527036,-879875.241547438
-114724.955075437,-879879.52594516
-114711.08707808,-879883.763095882
-114697.062574688,-879888.047119578
-114683.035367181,-879892.330847798
-114669.159936542,-879896.567211806
-114655.127960669,-879900.850296621
-114641.247663636,-879905.08588829
-114627.364980232,-879909.321030166
-114613.325728904,-879913.602756418
-114599.283871113,-879917.883900987
-114585.394070968,-879922.117453755
-114571.50196122,-879926.350419132
-114557.453252521,-879930.629812399
-114543.556549162,-879934.861480536
-114529.657602315,-879939.092446509
-114515.756424346,-879943.322679456
-114501.698626998,-879947.599167207
-114487.79300129,-879951.827830397
-114473.730538461,-879956.102602908
-114459.820453232,-879960.329592935
-114445.753604909,-879964.602712043
-114431.838959943,-879968.827941519
-114417.92199007,-879973.052268398
-114404.002651824,-879977.275675091
-114390.08087043,-879981.498156757
-114376.001967216,-879985.766640392
-114362.075078753,-879989.987229028
-114348.145506309,-879994.206900855
-114334.213154636,-879998.42564607
-114320.277937893,-880002.64345942
-114306.339767909,-880006.860340443
-114292.243778385,-880011.123149475
-114278.299455728,-880015.3381025
-114264.351975402,-880019.552055264
-114250.401279536,-880023.764971274
-114236.447317027,-880027.976826819
-114222.490052915,-880032.187582801
-114208.529443204,-880036.397194617
-114194.565454281,-880040.605613848
-114180.443003229,-880044.859562747
-114166.627579403,-880049.018710082
-114152.653410462,-880053.223136738
-114138.675854642,-880057.426070692
-114124.694942346,-880061.627432707
-114110.710702931,-880065.827132905
-114096.723166284,-880070.025079463
-114082.732380747,-880074.221167064
-114068.738380835,-880078.415279661
-114054.896878745,-880082.560826572
-114040.896620351,-880086.75067868
-114026.89332342,-880090.938227803
-114012.88706958,-880095.123399346
-113998.877926212,-880099.306131026
-113984.865965473,-880103.486391599
-113971.007099161,-880107.617857793
-113956.98972324,-880111.793163245
-113942.969701292,-880115.966020673
-113928.947096138,-880120.136460715
-113914.921951437,-880124.304542783
-113900.894322687,-880128.470347864
-113887.020255834,-880132.587822447
-113872.987826832,-880136.749435182
-113859.10892309,-880140.86289854
-113845.07190593,-880145.021007309
-113831.188747811,-880149.131555527
-113817.147332506,-880153.286986064
-113803.103777169,-880157.441398941
-113789.058131182,-880161.59503614
-113775.166629418,-880165.70199811
-113761.117032432,-880169.854795875
-113747.221648736,-880173.96140532
-113733.168450702,-880178.114325255
-113719.269797529,-880182.221449694
-113705.213283439,-880186.375326929
-113691.155194527,-880190.529963655
-113677.251880986,-880194.639288957
-113663.347039216,-880198.749772869
-113649.284643501,-880202.907580448
-113635.220907037,-880207.066709695
-113621.312209129,-880211.180968733
-113607.245936628,-880215.343062193
-113593.178447534,-880219.506791563
-113579.422403545,-880223.579664377
-113565.352539738,-880227.746887412
-113551.281471201,-880231.915976017
-113537.365595931,-880236.040563757
-113523.448430168,-880240.167246142
-113509.373696288,-880244.342285541
-113495.454148474,-880248.472984975
-113481.376863181,-880252.65239711
-113467.61110455,-880256.741202637
