Lat, Lon, Ice_surf, Ice_base, Distance, X_coord, Y_coord
81.537808,-50.570573,154.2677,154.2677,0,-89139.9289,-913952.459
81.537818,-50.569726,151.0881,143.9581,13.6186121,-89126.3123,-913952.693
81.537827,-50.568878,147.927,133.677,27.2449198,-89112.6904,-913953.037
81.537837,-50.56803,144.7579,123.3779,40.8794772,-89099.0578,-913953.272
81.537846,-50.567182,141.5887,113.0787,54.5057544,-89085.4359,-913953.615
81.537856,-50.566334,138.4293,95.6393,68.1402813,-89071.8034,-913953.849
81.537865,-50.565486,135.2805,78.2005,81.766528,-89058.1814,-913954.192
81.537875,-50.564638,132.1217,60.7517,95.4010244,-89044.5489,-913954.426
81.537884,-50.563791,128.964,43.314,109.011255,-89030.943,-913954.767
81.537893,-50.562943,125.8256,20.5256,122.637457,-89017.3211,-913955.109
81.537903,-50.562095,122.6773,-2.2727,136.271908,-89003.6886,-913955.343
81.537912,-50.561247,113.4189,-27.7411,149.898079,-88990.0667,-913955.685
81.537921,-50.5604,113.2932,-56.6268,163.50825,-88976.4608,-913956.024
81.537931,-50.559552,113.1653,-85.5247,177.142657,-88962.8284,-913956.257
81.53794,-50.558704,113.0473,-101.4927,190.768783,-88949.2065,-913956.599
81.537949,-50.557857,112.9233,-117.4667,204.378909,-88935.6006,-913956.938
81.537959,-50.557009,112.8158,-133.4142,218.01327,-88921.9683,-913957.17
81.537968,-50.556162,112.6982,-147.4518,231.623366,-88908.3624,-913957.509
81.537977,-50.555314,112.5856,-161.4944,245.249433,-88894.7406,-913957.85
81.537986,-50.554467,112.4632,-175.5368,258.8595,-88881.1347,-913958.188
81.537995,-50.553619,112.3557,-189.5643,272.485537,-88867.5129,-913958.528
81.538004,-50.552772,112.2445,-195.1855,286.095575,-88853.9071,-913958.866
81.538013,-50.551925,112.1406,-200.7994,299.705599,-88840.3013,-913959.204
81.538022,-50.551077,112.0403,-206.4097,313.331593,-88826.6795,-913959.543
81.538031,-50.55023,111.9408,-212.0192,326.941588,-88813.0737,-913959.881
81.53804,-50.549383,111.846,-217.624,340.551568,-88799.4679,-913960.218
81.538049,-50.548535,111.7389,-211.8611,354.177519,-88785.8461,-913960.557
81.538058,-50.547688,111.6507,-206.0793,367.78747,-88772.2404,-913960.894
81.538067,-50.546841,111.5447,-200.3153,381.397407,-88758.6346,-913961.231
81.538076,-50.545994,111.4573,-194.5227,395.007329,-88745.0288,-913961.567
81.538084,-50.545147,111.3506,-182.1594,408.60983,-88731.4336,-913962.012
81.538093,-50.5443,111.2643,-169.7757,422.219725,-88717.8279,-913962.348
81.538102,-50.543453,111.1772,-159.8728,435.829605,-88704.2221,-913962.684
81.53811,-50.542606,111.0918,-149.9582,449.432064,-88690.6269,-913963.128
81.538119,-50.541759,111.0038,-140.0562,463.041917,-88677.0212,-913963.464
81.538127,-50.540912,110.9192,-130.1408,476.644349,-88663.426,-913963.907
81.538135,-50.540066,110.8329,-148.2771,490.230774,-88649.8468,-913964.349
81.538144,-50.539219,110.7566,-166.3934,503.840587,-88636.2411,-913964.684
81.538152,-50.538372,110.6704,-184.5296,517.442978,-88622.6459,-913965.127
81.53816,-50.537525,110.5941,-213.3759,531.045357,-88609.0507,-913965.57
81.538168,-50.536679,110.512,-242.228,544.631729,-88595.4715,-913966.011
81.538176,-50.535832,110.4461,-248.2439,558.234082,-88581.8764,-913966.454
81.538184,-50.534986,110.3802,-254.2598,571.820428,-88568.2972,-913966.895
81.538192,-50.534139,110.3044,-260.2856,585.422755,-88554.702,-913967.337
81.5382,-50.533293,110.2443,-266.2957,599.009076,-88541.1229,-913967.777
