Lat, Lon, Ice_surf, Ice_base, Distance, X_coord, Y_coord
81.844186,-50.685523,17.8253,17.8253,0,-87668.7307,-880578.696
81.844052,-50.68541,17.9115,17.9115,14.690711,-87668.439,-880593.384
81.843918,-50.685297,17.9998,17.9998,29.3814278,-87668.1473,-880608.071
81.843787,-50.685185,18.0883,18.0883,43.74608,-87667.8386,-880622.433
81.843654,-50.685071,18.1796,18.1796,58.3305858,-87667.5206,-880637.014
81.84352,-50.684956,18.2737,18.2737,73.0250219,-87667.198,-880651.705
81.843388,-50.684842,18.3687,18.3687,87.5014857,-87666.8691,-880666.177
81.843254,-50.684725,17.9567,17.9567,102.1997,-87666.5156,-880680.871
81.84312,-50.684609,16.5766,16.5766,116.896029,-87666.1775,-880695.564
81.842988,-50.684492,17.657,17.657,131.37822,-87665.8023,-880710.041
81.842854,-50.684375,16.27,16.27,146.076453,-87665.4487,-880724.735
81.842721,-50.684257,15.8731,15.8731,160.668589,-87665.0688,-880739.322
81.842587,-50.684139,15.9782,15.9782,175.36874,-87664.6997,-880754.018
81.842454,-50.68402,16.0829,16.0829,189.962826,-87664.3043,-880768.607
81.84232,-50.683901,16.1887,16.1887,204.664914,-87663.9197,-880783.304
81.842188,-50.683782,16.2933,16.2933,219.15103,-87663.5134,-880797.784
81.842055,-50.683663,16.3975,16.3975,233.745134,-87663.1179,-880812.373
81.841922,-50.683543,16.5009,16.5009,248.341198,-87662.7069,-880826.963
81.841788,-50.683423,16.6042,16.6042,263.04525,-87662.3066,-880841.662
81.841655,-50.683303,16.7055,16.7055,277.641327,-87661.8955,-880856.252
81.84152,-50.683182,16.8063,16.8063,292.455326,-87661.4906,-880871.06
81.841389,-50.683063,16.9037,16.9037,306.833509,-87661.0732,-880885.433
81.841256,-50.682943,17.0006,17.0006,321.429605,-87660.6619,-880900.023
81.841121,-50.682822,17.0967,17.0967,336.243623,-87660.2568,-880914.831
81.840989,-50.682703,17.1891,17.1891,350.729793,-87659.85,-880929.312
81.840856,-50.682583,17.2807,17.2807,365.325907,-87659.4385,-880943.902
81.840721,-50.682462,17.3709,17.3709,380.139943,-87659.0332,-880958.711
81.840589,-50.682343,17.4572,17.4572,394.626132,-87658.6262,-880973.191
81.840456,-50.682223,17.542,17.542,409.222264,-87658.2146,-880987.781
81.840321,-50.682102,17.625,17.625,424.036319,-87657.809,-881002.59
81.840189,-50.681984,17.704,17.704,438.520573,-87657.4173,-881017.069
81.840056,-50.681864,17.7813,17.7813,453.116724,-87657.0054,-881031.659
81.839923,-50.681746,17.8555,17.8555,467.708986,-87656.6243,-881046.246
81.83979,-50.681627,17.928,17.928,482.303194,-87656.2277,-881060.835
81.839657,-50.681509,17.9974,17.9974,496.895469,-87655.8465,-881075.423
81.839522,-50.681389,18.0659,18.0659,511.707618,-87655.456,-881090.23
81.83939,-50.681272,18.131,18.131,526.18997,-87655.0792,-881104.707
81.839256,-50.681153,18.1945,18.1945,540.892197,-87654.6932,-881119.404
81.839125,-50.681037,18.2549,18.2549,555.264628,-87654.3209,-881133.772
81.838992,-50.68092,18.3138,18.3138,569.855009,-87653.9548,-881148.358
81.838859,-50.680803,18.3706,18.3706,584.445396,-87653.5886,-881162.943
81.838725,-50.680685,18.426,18.426,599.145722,-87653.2177,-881177.639
81.838592,-50.680568,18.4788,18.4788,613.736121,-87652.8513,-881192.225
81.838458,-50.680452,17.2497,17.2497,628.432656,-87652.5111,-881206.917
81.838324,-50.680334,12.5091,12.5091,643.133,-87652.14,-881221.613
81.838191,-50.680217,12.2261,12.2261,657.723417,-87651.7735,-881236.199
81.838058,-50.680101,11.9412,11.9412,672.311932,-87651.4223,-881250.783
81.837923,-50.679984,11.6449,11.6449,687.11842,-87651.0772,-881265.586
81.83779,-50.679867,11.3563,11.3563,701.708855,-87650.7105,-881280.171
81.837656,-50.679751,11.066,11.066,716.405426,-87650.3699,-881294.864
81.837524,-50.679636,10.7736,10.7736,730.884034,-87650.0231,-881309.339
81.837389,-50.679519,10.4603,10.4603,745.690545,-87649.6778,-881324.141
81.837256,-50.679402,10.165,10.165,760.281004,-87649.3108,-881338.727
81.837122,-50.679286,9.9382,9.9382,774.977598,-87648.97,-881353.42
81.836989,-50.67917,9.9701,9.9701,789.566161,-87648.6184,-881368.004
81.836856,-50.679054,10.0004,10.0004,804.154729,-87648.2666,-881382.588
81.836723,-50.678938,10.0297,10.0297,818.743304,-87647.9148,-881397.173
81.836589,-50.678821,10.0581,10.0581,833.441815,-87647.5584,-881411.867
81.836455,-50.678705,10.0856,10.0856,848.138439,-87647.2173,-881426.559
81.836322,-50.678588,10.1122,10.1122,862.72894,-87646.8499,-881441.145
81.836191,-50.678473,10.1377,10.1377,877.099579,-87646.4917,-881455.511
81.836057,-50.678357,10.1632,10.1632,891.79622,-87646.1504,-881470.204
81.835923,-50.67824,10.1882,10.1882,906.494762,-87645.7937,-881484.898
81.835791,-50.678124,10.2128,10.2128,920.975353,-87645.4307,-881499.374
81.835657,-50.678007,10.2374,10.2374,935.673906,-87645.0739,-881514.069
81.835523,-50.677889,10.2619,10.2619,950.374377,-87644.7016,-881528.764
81.835391,-50.677773,10.2863,10.2863,964.854985,-87644.3384,-881543.24
81.835257,-50.677655,10.311,10.311,979.555467,-87643.966,-881557.936
81.835124,-50.677539,10.3358,10.3358,994.144113,-87643.6135,-881572.521
81.834992,-50.677422,10.3609,10.3609,1008.62666,-87643.2348,-881586.998
81.834858,-50.677304,10.3868,10.3868,1023.32716,-87642.8622,-881601.694
81.834725,-50.677187,10.413,10.413,1037.91773,-87642.4941,-881616.28
81.834591,-50.677069,10.4403,10.4403,1052.61825,-87642.1214,-881630.976
81.834458,-50.676952,10.5081,10.5081,1067.20883,-87641.7533,-881645.562
81.834324,-50.676833,10.6773,10.6773,1081.91128,-87641.365,-881660.259
81.834191,-50.676716,10.8474,10.8474,1096.50188,-87640.9967,-881674.845
81.834058,-50.676599,11.029,11.029,1111.09248,-87640.6284,-881689.431
81.833924,-50.67648,11.2027,11.2027,1125.79495,-87640.24,-881704.128
81.833791,-50.676362,11.378,11.378,1140.38749,-87639.8561,-881718.716
81.833658,-50.676245,11.5558,11.5558,1154.97811,-87639.4876,-881733.302
81.833525,-50.676127,11.7461,11.7461,1169.57066,-87639.1036,-881747.889
81.833392,-50.676009,11.9295,11.9295,1184.16322,-87638.7196,-881762.477
81.833258,-50.67589,12.117,12.117,1198.86572,-87638.3309,-881777.174
81.833126,-50.675773,12.3073,12.3073,1213.34835,-87637.9514,-881791.652
81.832992,-50.675653,12.513,12.513,1228.05281,-87637.5471,-881806.351
81.832858,-50.675535,12.7125,12.7125,1242.7534,-87637.1736,-881821.046
81.832725,-50.675417,12.9171,12.9171,1257.34599,-87636.7893,-881835.634
81.832592,-50.675298,13.1265,13.1265,1271.94053,-87636.3895,-881850.223
81.832459,-50.67518,13.3509,13.3509,1286.53313,-87636.0051,-881864.81
81.832325,-50.675061,13.571,13.571,1301.23567,-87635.6159,-881879.508
81.832192,-50.674943,13.7959,13.7959,1315.82828,-87635.2314,-881894.095
81.832059,-50.674824,14.0262,14.0262,1330.42284,-87634.8313,-881908.684
81.831926,-50.674705,14.271,14.271,1345.01741,-87634.4313,-881923.274
81.831792,-50.674586,14.5006,14.5006,1359.71998,-87634.0419,-881937.971
81.83166,-50.674468,14.6338,14.6338,1374.20462,-87633.6463,-881952.45
81.831528,-50.674349,14.311,14.311,1388.69122,-87633.2353,-881966.931
81.831395,-50.674231,13.9924,13.9924,1403.28387,-87632.8504,-881981.519
81.83126,-50.67411,13.6796,13.6796,1418.09834,-87632.4407,-881996.327
81.831128,-50.673991,13.3778,13.3778,1432.58496,-87632.0295,-882010.808
81.830994,-50.67387,13.07,13.07,1447.29147,-87631.609,-882025.509
81.830862,-50.673751,12.7736,12.7736,1461.77811,-87631.1977,-882039.989
81.830727,-50.673629,13.2419,2.4319,1476.59457,-87630.7724,-882054.8
81.830594,-50.67351,16.5495,-44.6705,1491.1892,-87630.3717,-882069.389
81.83046,-50.673389,19.8697,-81.6503,1505.89573,-87629.9509,-882084.089
81.830326,-50.673267,23.1911,-81.5189,1520.60425,-87629.5147,-882098.791
81.830194,-50.673147,26.5018,-81.3882,1535.09289,-87629.0877,-882113.274
81.83006,-50.673025,29.8143,-81.2657,1549.80142,-87628.6513,-882127.976
81.829927,-50.672904,32.3956,-81.4644,1564.40002,-87628.2196,-882142.568
81.829793,-50.672782,32.298,-82.822,1579.10856,-87627.7831,-882157.27
81.829659,-50.67266,32.2,-84.18,1593.81711,-87627.3466,-882171.972
81.829527,-50.672538,32.0904,-85.5496,1608.30978,-87626.8884,-882186.458
81.829393,-50.672415,32.0016,-86.9084,1623.02033,-87626.4364,-882201.161
81.82926,-50.672293,31.8911,-88.2789,1637.62095,-87625.9889,-882215.755
81.829126,-50.672169,31.7914,-89.6386,1652.33353,-87625.5213,-882230.46
81.828992,-50.672045,31.6814,-90.7586,1667.04612,-87625.0537,-882245.165
